epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,643.071,0.92652,0.60335,0.00577,0.84225,0.71988,0.79306,0.64146,0.90951,0.89155,0.00557,0.0006536,0.0006536,0.0006536
70,650.725,0.82256,0.53952,0.00484,0.80822,0.69663,0.77596,0.63346,0.90745,0.9203,0.00554,0.0006338,0.0006338,0.0006338
71,660.281,0.89136,0.56651,0.00516,0.86285,0.68539,0.7782,0.63351,0.96314,0.94307,0.00603,0.000614,0.000614,0.000614
72,669.517,0.8823,0.60625,0.00539,0.89162,0.66292,0.773,0.6308,0.95916,1.01338,0.0056,0.0005942,0.0005942,0.0005942
73,678.54,0.81819,0.47008,0.00496,0.82291,0.7191,0.7816,0.62624,1.00384,1.00609,0.00558,0.0005744,0.0005744,0.0005744
74,688.251,0.89413,0.55525,0.00551,0.78643,0.74477,0.7785,0.63999,0.95548,1.00683,0.0053,0.0005546,0.0005546,0.0005546
75,696.56,0.8422,0.60078,0.00503,0.77847,0.75021,0.77356,0.63673,0.9447,0.97242,0.00531,0.0005348,0.0005348,0.0005348
76,706.174,0.8562,0.57551,0.00527,0.77308,0.73034,0.76405,0.62865,0.96736,0.98904,0.00542,0.000515,0.000515,0.000515
77,715.001,0.89374,0.58295,0.00538,0.76247,0.7191,0.76545,0.63535,0.92698,0.9567,0.00498,0.0004952,0.0004952,0.0004952
78,723.599,0.85671,0.53744,0.00453,0.77666,0.7191,0.76716,0.63275,0.93413,0.94794,0.00493,0.0004754,0.0004754,0.0004754
79,733.128,0.76931,0.46564,0.00441,0.89368,0.67416,0.77864,0.64697,0.93067,0.9231,0.00483,0.0004556,0.0004556,0.0004556
80,740.733,0.86344,0.59797,0.00477,0.8349,0.70787,0.78176,0.65887,0.93711,0.92481,0.00501,0.0004358,0.0004358,0.0004358
81,750.496,0.80747,0.5281,0.00486,0.73656,0.77528,0.77359,0.65208,0.92712,0.95933,0.00507,0.000416,0.000416,0.000416
82,758.231,0.77963,0.49313,0.00422,0.72854,0.75389,0.76617,0.64528,0.88791,0.98127,0.00467,0.0003962,0.0003962,0.0003962
83,767.789,0.84303,0.56632,0.00474,0.79278,0.68782,0.75716,0.63405,0.8692,1.03044,0.00458,0.0003764,0.0003764,0.0003764
84,776.157,0.84492,0.51573,0.00461,0.7827,0.69663,0.753,0.63135,0.88479,1.07898,0.00478,0.0003566,0.0003566,0.0003566
85,785.098,0.72173,0.41854,0.00437,0.77374,0.70787,0.74557,0.62187,0.89424,1.12798,0.00465,0.0003368,0.0003368,0.0003368
86,794.451,0.79226,0.52194,0.00473,0.75947,0.70787,0.74755,0.62528,0.89349,1.1263,0.00471,0.000317,0.000317,0.000317
87,802.147,0.8327,0.5463,0.00425,0.76047,0.71348,0.75396,0.63066,0.89024,1.08694,0.00478,0.0002972,0.0002972,0.0002972
88,811.891,0.76757,0.52316,0.005,0.75024,0.70787,0.75739,0.63312,0.89739,1.05999,0.00493,0.0002774,0.0002774,0.0002774
89,819.301,0.80647,0.50573,0.0047,0.79393,0.69266,0.76013,0.63281,0.91271,1.04194,0.00491,0.0002576,0.0002576,0.0002576
90,829.065,0.79417,0.57105,0.00443,0.83542,0.68443,0.76435,0.64408,0.87319,1.05413,0.00459,0.0002378,0.0002378,0.0002378
91,856.358,0.5888,0.2739,0.00339,0.83424,0.66292,0.76312,0.64479,0.86822,1.02816,0.00457,0.000218,0.000218,0.000218
92,872.727,0.59228,0.30849,0.0027,0.78877,0.7133,0.76684,0.64935,0.87624,1.02042,0.00472,0.0001982,0.0001982,0.0001982
93,881.568,0.62132,0.24132,0.00295,0.79923,0.70787,0.76983,0.66091,0.87372,1.01687,0.00466,0.0001784,0.0001784,0.0001784
94,892.6,0.52931,0.23315,0.00294,0.77305,0.7191,0.77062,0.65911,0.86323,1.00364,0.00451,0.0001586,0.0001586,0.0001586
95,902.171,0.56464,0.24876,0.00314,0.83034,0.69663,0.773,0.65975,0.8675,0.99964,0.00461,0.0001388,0.0001388,0.0001388
96,909.586,0.53535,0.25509,0.00279,0.83547,0.69663,0.77309,0.65689,0.85969,1.00396,0.00462,0.000119,0.000119,0.000119
97,918.016,0.53687,0.24161,0.00272,0.8013,0.72502,0.77367,0.65626,0.85571,1.00914,0.00449,9.92e-05,9.92e-05,9.92e-05
98,925.006,0.51346,0.22396,0.00248,0.79546,0.7191,0.77268,0.66447,0.84318,1.01423,0.00435,7.94e-05,7.94e-05,7.94e-05
99,933.382,0.54422,0.23859,0.00277,0.80461,0.7191,0.77283,0.66354,0.83605,1.0184,0.00429,5.96e-05,5.96e-05,5.96e-05
100,940.279,0.57501,0.2561,0.00322,0.81634,0.6992,0.77279,0.66662,0.83492,0.99845,0.00437,3.98e-05,3.98e-05,3.98e-05
