epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2069.85,1.08763,0.82543,0.00647,0.74955,0.7191,0.76776,0.60641,0.9388,1.14651,0.00791,0.0007922,0.0007922,0.0007922
63,2101.05,1.09204,0.88404,0.00692,0.7972,0.66292,0.76102,0.60404,0.89146,1.20605,0.00751,0.0007724,0.0007724,0.0007724
64,2133.33,0.99573,0.79904,0.00651,0.67808,0.82022,0.78331,0.6158,0.87905,1.03363,0.00757,0.0007526,0.0007526,0.0007526
65,2164.17,1.02374,0.80644,0.00594,0.67215,0.82022,0.80918,0.64183,0.85518,1.05809,0.00754,0.0007328,0.0007328,0.0007328
66,2196.1,1.03568,0.7713,0.00659,0.73019,0.74157,0.79199,0.62796,0.81159,1.03467,0.00707,0.000713,0.000713,0.000713
67,2228.37,1.0995,0.87535,0.00724,0.72822,0.67416,0.73454,0.58501,0.90142,1.16991,0.00788,0.0006932,0.0006932,0.0006932
68,2262,1.00737,0.83214,0.00606,0.69122,0.67915,0.72231,0.5695,0.87037,1.25838,0.00789,0.0006734,0.0006734,0.0006734
69,2295.61,1.05,0.81725,0.00685,0.74862,0.66925,0.74977,0.59449,0.90146,0.96182,0.0081,0.0006536,0.0006536,0.0006536
70,2328.9,1.05348,0.81658,0.00648,0.77837,0.70787,0.79728,0.6245,0.84105,0.93718,0.00757,0.0006338,0.0006338,0.0006338
71,2361.63,1.028,0.75198,0.00698,0.83582,0.68643,0.77789,0.60651,0.89173,1.05427,0.00774,0.000614,0.000614,0.000614
72,2392.9,1.03055,0.82062,0.00599,0.7781,0.69663,0.78382,0.60399,0.92947,1.12925,0.00782,0.0005942,0.0005942,0.0005942
73,2425.61,1.04269,0.77802,0.00664,0.70283,0.77528,0.78357,0.61427,0.84974,0.97123,0.00723,0.0005744,0.0005744,0.0005744
74,2458.7,1.03794,0.79778,0.00707,0.76041,0.73034,0.78668,0.61712,0.89014,0.97497,0.00793,0.0005546,0.0005546,0.0005546
75,2489.05,1.00452,0.74414,0.00665,0.79325,0.68977,0.77286,0.60927,0.83082,1.05108,0.00721,0.0005348,0.0005348,0.0005348
76,2521.68,1.02532,0.77318,0.00686,0.70588,0.70115,0.75771,0.59338,0.8746,1.24207,0.00788,0.000515,0.000515,0.000515
77,2552.67,1.02507,0.79127,0.0065,0.81573,0.65169,0.78687,0.62064,0.79266,1.13739,0.00707,0.0004952,0.0004952,0.0004952
78,2587.17,1.01137,0.81657,0.00594,0.82391,0.69663,0.798,0.62685,0.77791,1.12045,0.00681,0.0004754,0.0004754,0.0004754
79,2619.14,0.97932,0.75074,0.00625,0.82618,0.69663,0.80039,0.64425,0.78024,1.02207,0.00727,0.0004556,0.0004556,0.0004556
80,2654.54,0.96649,0.73747,0.00577,0.81459,0.7191,0.79666,0.62592,0.80447,1.03962,0.00736,0.0004358,0.0004358,0.0004358
81,2683.69,0.97829,0.72543,0.00616,0.8441,0.66923,0.79986,0.63598,0.81963,0.98374,0.00761,0.000416,0.000416,0.000416
82,2717.12,0.9716,0.74075,0.00678,0.82742,0.70034,0.81417,0.6561,0.81856,0.94069,0.00749,0.0003962,0.0003962,0.0003962
83,2750.99,0.95678,0.82287,0.00588,0.71707,0.79775,0.80232,0.6567,0.75129,0.9902,0.00669,0.0003764,0.0003764,0.0003764
84,2783.59,0.97423,0.7166,0.00605,0.76284,0.6867,0.78681,0.64478,0.74291,1.10037,0.00649,0.0003566,0.0003566,0.0003566
85,2819.38,1.01939,0.76991,0.00707,0.72374,0.77528,0.791,0.64363,0.74242,1.06663,0.00648,0.0003368,0.0003368,0.0003368
86,2852.84,0.98954,0.79096,0.00639,0.81901,0.74157,0.80859,0.65882,0.73751,1.0078,0.00613,0.000317,0.000317,0.000317
87,2885.98,0.95024,0.71632,0.00557,0.78514,0.69803,0.80303,0.65463,0.75051,0.98528,0.00665,0.0002972,0.0002972,0.0002972
88,2919.76,0.9458,0.73039,0.00552,0.77611,0.74157,0.78547,0.6302,0.77057,1.01175,0.00685,0.0002774,0.0002774,0.0002774
89,2953.28,0.95306,0.75917,0.0055,0.79516,0.76404,0.7911,0.63473,0.75895,1.02517,0.00684,0.0002576,0.0002576,0.0002576
90,2986.2,0.95661,0.74281,0.00518,0.80288,0.7191,0.7953,0.63786,0.76345,1.0592,0.00693,0.0002378,0.0002378,0.0002378
91,3017.5,0.57017,0.68108,0.00434,0.81205,0.72822,0.79636,0.64251,0.75726,1.07471,0.00674,0.000218,0.000218,0.000218
92,3039.49,0.58591,0.49821,0.00454,0.76797,0.81816,0.80021,0.64642,0.7499,0.93411,0.00682,0.0001982,0.0001982,0.0001982
93,3062.03,0.52908,0.35619,0.00451,0.77813,0.74875,0.79292,0.64869,0.74628,1.06354,0.00687,0.0001784,0.0001784,0.0001784
94,3082.5,0.52413,0.32972,0.00417,0.79743,0.68539,0.78426,0.65235,0.74673,1.15725,0.00678,0.0001586,0.0001586,0.0001586
95,3105.42,0.53734,0.30102,0.00342,0.8235,0.68153,0.78275,0.65177,0.75099,1.19377,0.00672,0.0001388,0.0001388,0.0001388
96,3127.08,0.53071,0.32142,0.00378,0.80241,0.66292,0.77697,0.65346,0.74397,1.18736,0.00665,0.000119,0.000119,0.000119
97,3148.66,0.50561,0.28784,0.0039,0.79761,0.66422,0.76607,0.64059,0.75059,1.16947,0.00671,9.92e-05,9.92e-05,9.92e-05
98,3170.17,0.49123,0.27476,0.00384,0.80394,0.68539,0.76328,0.64077,0.74988,1.13803,0.00665,7.94e-05,7.94e-05,7.94e-05
99,3193.76,0.48903,0.26247,0.00311,0.84545,0.67615,0.77034,0.64593,0.7459,1.10706,0.00649,5.96e-05,5.96e-05,5.96e-05
100,3215.23,0.48584,0.25667,0.00314,0.85525,0.67416,0.77017,0.64894,0.73718,1.08979,0.00663,3.98e-05,3.98e-05,3.98e-05
